"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","national_winner","votes_national_winner"
"Cyprus","CYP","Colombia","COL",2002-05-26,"Presidential",NA,11,11,11,0,0,0,10,"PRIMERO COLOMBIA",1,"PARTIDO LIBERAL COLOMBIANO",0,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",10
"South Korea","KOR","Colombia","COL",2002-05-26,"Presidential",NA,22,22,22,0,0,0,15,"PRIMERO COLOMBIA",3,"FRENTE SOC. Y POLT - VIA ALTERNA -",2,"MOV. SI COLOMBIA",2,"PARTIDO LIBERAL COLOMBIANO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",15
"Costa Rica","CRI","Colombia","COL",2002-05-26,"Presidential",NA,3191,3135,3135,11,44,1,2851,"PRIMERO COLOMBIA",159,"PARTIDO LIBERAL COLOMBIANO",68,"FRENTE SOC. Y POLT - VIA ALTERNA -",38,"MOV. SI COLOMBIA",10,"PARTIDO VERDE OXIGENO",4,"MOV. FUERZA COLOMBIA",3,"MOV. 19 DE ABRIL",2,"MOV. DEFENSA CIUDADANA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",2851
"Cuba","CUB","Colombia","COL",2002-05-26,"Presidential",NA,117,110,110,1,6,0,50,"PRIMERO COLOMBIA",27,"FRENTE SOC. Y POLT - VIA ALTERNA -",27,"PARTIDO LIBERAL COLOMBIANO",6,"MOV. SI COLOMBIA",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",50
"Ecuador","ECU","Colombia","COL",2002-05-26,"Presidential",NA,5416,5162,5162,155,81,18,4021,"PRIMERO COLOMBIA",659,"PARTIDO LIBERAL COLOMBIANO",178,"MOV. SI COLOMBIA",105,"FRENTE SOC. Y POLT - VIA ALTERNA -",49,"MOV. DEFENSA CIUDADANA",44,"MOV. FUERZA COLOMBIA",42,"PARTIDO VERDE OXIGENO",23,"MOV. 19 DE ABRIL",23,"MOV. POL.COMUNAL Y COMUNI. COL.",18,"MOV. PARTICIPACION COMUN. ""MPC""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",4021
"Egypt","EGY","Colombia","COL",2002-05-26,"Presidential",NA,27,27,27,0,0,0,21,"PRIMERO COLOMBIA",4,"PARTIDO LIBERAL COLOMBIANO",2,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",21
"El Salvador","SLV","Colombia","COL",2002-05-26,"Presidential",NA,86,84,84,0,2,0,64,"PRIMERO COLOMBIA",8,"FRENTE SOC. Y POLT - VIA ALTERNA -",6,"PARTIDO LIBERAL COLOMBIANO",3,"MOV. SI COLOMBIA",3,"PARTIDO VERDE OXIGENO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",64
"Spain","ESP","Colombia","COL",2002-05-26,"Presidential",NA,6415,6249,6249,29,132,5,4794,"PRIMERO COLOMBIA",769,"PARTIDO LIBERAL COLOMBIANO",418,"FRENTE SOC. Y POLT - VIA ALTERNA -",201,"MOV. SI COLOMBIA",46,"PARTIDO VERDE OXIGENO",8,"MOV. FUERZA COLOMBIA",5,"MOV. 19 DE ABRIL",4,"MOV. PARTICIPACION COMUN. ""MPC""",3,"MOV. POL.COMUNAL Y COMUNI. COL.",1,"MOV. DEFENSA CIUDADANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",4794
"US","USA","Colombia","COL",2002-05-26,"Presidential",NA,56224,55929,55929,90,197,8,51143,"PRIMERO COLOMBIA",3019,"PARTIDO LIBERAL COLOMBIANO",958,"FRENTE SOC. Y POLT - VIA ALTERNA -",510,"MOV. SI COLOMBIA",186,"PARTIDO VERDE OXIGENO",72,"MOV. FUERZA COLOMBIA",18,"MOV. 19 DE ABRIL",11,"MOV. PARTICIPACION COMUN. ""MPC""",9,"MOV. POL.COMUNAL Y COMUNI. COL.",3,"MOV. DEFENSA CIUDADANA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",51143
"Philippines","PHL","Colombia","COL",2002-05-26,"Presidential",NA,11,11,11,0,0,0,11,"PRIMERO COLOMBIA",0,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO LIBERAL COLOMBIANO",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",11
"Finland","FIN","Colombia","COL",2002-05-26,"Presidential",NA,16,15,15,0,1,0,6,"PRIMERO COLOMBIA",5,"FRENTE SOC. Y POLT - VIA ALTERNA -",2,"PARTIDO LIBERAL COLOMBIANO",1,"MOV. 19 DE ABRIL",1,"MOV. SI COLOMBIA",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",6
"France","FRA","Colombia","COL",2002-05-26,"Presidential",NA,1497,1478,1478,3,16,0,871,"PRIMERO COLOMBIA",351,"FRENTE SOC. Y POLT - VIA ALTERNA -",125,"PARTIDO LIBERAL COLOMBIANO",75,"PARTIDO VERDE OXIGENO",49,"MOV. SI COLOMBIA",3,"MOV. 19 DE ABRIL",2,"MOV. DEFENSA CIUDADANA",2,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",871
"Greece","GRC","Colombia","COL",2002-05-26,"Presidential",NA,69,66,66,1,1,1,50,"PRIMERO COLOMBIA",6,"PARTIDO LIBERAL COLOMBIANO",5,"FRENTE SOC. Y POLT - VIA ALTERNA -",3,"MOV. SI COLOMBIA",1,"MOV. 19 DE ABRIL",1,"PARTIDO VERDE OXIGENO",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",50
"Guatemala","GTM","Colombia","COL",2002-05-26,"Presidential",NA,309,305,305,0,4,0,257,"PRIMERO COLOMBIA",25,"FRENTE SOC. Y POLT - VIA ALTERNA -",18,"PARTIDO LIBERAL COLOMBIANO",3,"MOV. SI COLOMBIA",1,"MOV. POL.COMUNAL Y COMUNI. COL.",1,"PARTIDO VERDE OXIGENO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",257
"Guyana","GUY","Colombia","COL",2002-05-26,"Presidential",NA,12,12,12,0,0,0,8,"PRIMERO COLOMBIA",4,"PARTIDO LIBERAL COLOMBIANO",0,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",8
"Haiti","HTI","Colombia","COL",2002-05-26,"Presidential",NA,24,24,24,0,0,0,21,"PRIMERO COLOMBIA",1,"MOV. SI COLOMBIA",1,"PARTIDO LIBERAL COLOMBIANO",1,"PARTIDO VERDE OXIGENO",0,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",21
"Netherlands","NLD","Colombia","COL",2002-05-26,"Presidential",NA,257,254,254,0,3,0,193,"PRIMERO COLOMBIA",28,"FRENTE SOC. Y POLT - VIA ALTERNA -",19,"PARTIDO LIBERAL COLOMBIANO",8,"MOV. SI COLOMBIA",6,"PARTIDO VERDE OXIGENO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",193
"Honduras","HND","Colombia","COL",2002-05-26,"Presidential",NA,158,155,155,2,1,0,141,"PRIMERO COLOMBIA",7,"PARTIDO LIBERAL COLOMBIANO",3,"MOV. SI COLOMBIA",2,"FRENTE SOC. Y POLT - VIA ALTERNA -",2,"PARTIDO VERDE OXIGENO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",141
"Hungary","HUN","Colombia","COL",2002-05-26,"Presidential",NA,28,27,27,0,1,0,18,"PRIMERO COLOMBIA",5,"FRENTE SOC. Y POLT - VIA ALTERNA -",2,"MOV. SI COLOMBIA",2,"PARTIDO LIBERAL COLOMBIANO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",18
"India","IND","Colombia","COL",2002-05-26,"Presidential",NA,16,16,16,0,0,0,8,"PRIMERO COLOMBIA",5,"FRENTE SOC. Y POLT - VIA ALTERNA -",3,"PARTIDO LIBERAL COLOMBIANO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",8
"Indonesia","IDN","Colombia","COL",2002-05-26,"Presidential",NA,27,27,27,0,0,0,19,"PRIMERO COLOMBIA",6,"PARTIDO LIBERAL COLOMBIANO",1,"FRENTE SOC. Y POLT - VIA ALTERNA -",1,"MOV. SI COLOMBIA",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",19
"UK","GBR","Colombia","COL",2002-05-26,"Presidential",NA,1523,1499,1499,1,23,0,1246,"PRIMERO COLOMBIA",106,"FRENTE SOC. Y POLT - VIA ALTERNA -",100,"PARTIDO LIBERAL COLOMBIANO",33,"MOV. SI COLOMBIA",10,"PARTIDO VERDE OXIGENO",2,"MOV. PARTICIPACION COMUN. ""MPC""",1,"MOV. 19 DE ABRIL",1,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",1246
"Iran","IRN","Colombia","COL",2002-05-26,"Presidential",NA,13,13,13,0,0,0,10,"PRIMERO COLOMBIA",2,"PARTIDO LIBERAL COLOMBIANO",1,"MOV. SI COLOMBIA",0,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",10
"Ireland","IRL","Colombia","COL",2002-05-26,"Presidential",NA,8,8,8,0,0,0,6,"PRIMERO COLOMBIA",1,"FRENTE SOC. Y POLT - VIA ALTERNA -",1,"PARTIDO LIBERAL COLOMBIANO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",6
"Israel","ISR","Colombia","COL",2002-05-26,"Presidential",NA,86,86,86,0,0,0,74,"PRIMERO COLOMBIA",7,"PARTIDO LIBERAL COLOMBIANO",2,"FRENTE SOC. Y POLT - VIA ALTERNA -",2,"MOV. SI COLOMBIA",1,"PARTIDO VERDE OXIGENO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",74
"Italy","ITA","Colombia","COL",2002-05-26,"Presidential",NA,803,785,785,1,16,1,569,"PRIMERO COLOMBIA",91,"PARTIDO LIBERAL COLOMBIANO",68,"FRENTE SOC. Y POLT - VIA ALTERNA -",50,"MOV. SI COLOMBIA",6,"PARTIDO VERDE OXIGENO",1,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",569
"Jamaica","JAM","Colombia","COL",2002-05-26,"Presidential",NA,20,16,16,0,4,0,11,"PRIMERO COLOMBIA",4,"PARTIDO LIBERAL COLOMBIANO",1,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",11
"Japan","JPN","Colombia","COL",2002-05-26,"Presidential",NA,147,140,140,0,6,1,112,"PRIMERO COLOMBIA",11,"PARTIDO LIBERAL COLOMBIANO",9,"MOV. SI COLOMBIA",5,"FRENTE SOC. Y POLT - VIA ALTERNA -",2,"MOV. PARTICIPACION COMUN. ""MPC""",1,"MOV. FUERZA COLOMBIA",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",112
"Kenya","KEN","Colombia","COL",2002-05-26,"Presidential",NA,17,17,17,0,0,0,8,"PRIMERO COLOMBIA",7,"PARTIDO LIBERAL COLOMBIANO",1,"FRENTE SOC. Y POLT - VIA ALTERNA -",1,"MOV. FUERZA COLOMBIA",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",8
"Lebanon","LBN","Colombia","COL",2002-05-26,"Presidential",NA,39,39,39,0,0,0,35,"PRIMERO COLOMBIA",4,"PARTIDO LIBERAL COLOMBIANO",0,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",35
"Malaysia","MYS","Colombia","COL",2002-05-26,"Presidential",NA,52,52,52,0,0,0,46,"PRIMERO COLOMBIA",3,"PARTIDO LIBERAL COLOMBIANO",2,"FRENTE SOC. Y POLT - VIA ALTERNA -",1,"MOV. SI COLOMBIA",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",46
"Morocco","MAR","Colombia","COL",2002-05-26,"Presidential",NA,9,9,9,0,0,0,9,"PRIMERO COLOMBIA",0,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO LIBERAL COLOMBIANO",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",9
"Mexico","MEX","Colombia","COL",2002-05-26,"Presidential",NA,983,977,977,2,4,0,816,"PRIMERO COLOMBIA",83,"FRENTE SOC. Y POLT - VIA ALTERNA -",64,"PARTIDO LIBERAL COLOMBIANO",11,"MOV. SI COLOMBIA",2,"PARTIDO VERDE OXIGENO",1,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",816
"Nicaragua","NIC","Colombia","COL",2002-05-26,"Presidential",NA,112,108,108,1,3,0,85,"PRIMERO COLOMBIA",10,"PARTIDO LIBERAL COLOMBIANO",6,"FRENTE SOC. Y POLT - VIA ALTERNA -",6,"MOV. SI COLOMBIA",1,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",85
"Norway","NOR","Colombia","COL",2002-05-26,"Presidential",NA,2,2,2,0,0,0,1,"FRENTE SOC. Y POLT - VIA ALTERNA -",1,"PRIMERO COLOMBIA",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO LIBERAL COLOMBIANO",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",1
"Panama","PAN","Colombia","COL",2002-05-26,"Presidential",NA,2431,2399,2399,7,23,2,1941,"PRIMERO COLOMBIA",273,"PARTIDO LIBERAL COLOMBIANO",84,"MOV. PARTICIPACION COMUN. ""MPC""",51,"MOV. SI COLOMBIA",41,"FRENTE SOC. Y POLT - VIA ALTERNA -",6,"PARTIDO VERDE OXIGENO",1,"MOV. 19 DE ABRIL",1,"MOV. DEFENSA CIUDADANA",1,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. FUERZA COLOMBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",1941
