"country","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","national_winner","votes_national_winner"
"South Africa","Venezuela",2013-04-14,"Presidential",60,49,49,0,NA,NA,45,"HENRIQUE CAPRILES RADONSKI",4,"NICOLAS MADURO",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",4
"South Korea","Venezuela",2013-04-14,"Presidential",27,11,11,0,NA,NA,7,"HENRIQUE CAPRILES RADONSKI",4,"NICOLAS MADURO",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",4
"Spain","Venezuela",2013-04-14,"Presidential",20306,13920,13893,27,NA,NA,13402,"HENRIQUE CAPRILES RADONSKI",481,"NICOLAS MADURO",7,"MARIA BOLIVAR",2,"REINA SEQUERA",1,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",481
"St. Kitts & Nevis","Venezuela",2013-04-14,"Presidential",5,1,1,0,NA,NA,1,"HENRIQUE CAPRILES RADONSKI",0,"NICOLAS MADURO",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",0
"St. Lucia","Venezuela",2013-04-14,"Presidential",8,1,1,0,NA,NA,1,"HENRIQUE CAPRILES RADONSKI",0,"NICOLAS MADURO",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",0
"St. Vincent & Grenadines","Venezuela",2013-04-14,"Presidential",4,2,2,0,NA,NA,2,"NICOLAS MADURO",0,"HENRIQUE CAPRILES RADONSKI",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",2
"Suriname","Venezuela",2013-04-14,"Presidential",23,13,13,0,NA,NA,9,"NICOLAS MADURO",4,"HENRIQUE CAPRILES RADONSKI",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",9
"Sweden","Venezuela",2013-04-14,"Presidential",269,204,204,0,NA,NA,184,"HENRIQUE CAPRILES RADONSKI",20,"NICOLAS MADURO",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",20
"Switzerland","Venezuela",2013-04-14,"Presidential",623,432,427,5,NA,NA,377,"HENRIQUE CAPRILES RADONSKI",50,"NICOLAS MADURO",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",50
"Syria","Venezuela",2013-04-14,"Presidential",695,94,94,0,NA,NA,72,"NICOLAS MADURO",21,"HENRIQUE CAPRILES RADONSKI",1,"EUSEBIO MENDEZ",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",72
"Trinidad & Tobago","Venezuela",2013-04-14,"Presidential",374,262,260,2,NA,NA,239,"HENRIQUE CAPRILES RADONSKI",19,"NICOLAS MADURO",1,"REINA SEQUERA",1,"JULIO MORA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",19
"Turkey","Venezuela",2013-04-14,"Presidential",15,9,9,0,NA,NA,5,"HENRIQUE CAPRILES RADONSKI",4,"NICOLAS MADURO",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",4
"UK","Venezuela",2013-04-14,"Presidential",2066,1418,1417,1,NA,NA,1365,"HENRIQUE CAPRILES RADONSKI",52,"NICOLAS MADURO",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",52
"United Arab Emirates","Venezuela",2013-04-14,"Presidential",161,115,114,1,NA,NA,102,"HENRIQUE CAPRILES RADONSKI",12,"NICOLAS MADURO",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",12
"Uruguay","Venezuela",2013-04-14,"Presidential",327,219,215,4,NA,NA,131,"HENRIQUE CAPRILES RADONSKI",84,"NICOLAS MADURO",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",84
"US","Venezuela",2013-04-14,"Presidential",37681,18658,18637,21,NA,NA,18237,"HENRIQUE CAPRILES RADONSKI",395,"NICOLAS MADURO",3,"MARIA BOLIVAR",1,"REINA SEQUERA",1,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",395
"Vietnam","Venezuela",2013-04-14,"Presidential",10,8,8,0,NA,NA,6,"NICOLAS MADURO",2,"HENRIQUE CAPRILES RADONSKI",0,"REINA SEQUERA",0,"MARIA BOLIVAR",0,"EUSEBIO MENDEZ",0,"JULIO MORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NICOLAS MADURO",6
"Afghanistan","Poland",2005-09-25,"Legislative",113,72,65,NA,NA,7,20,"5 - Socjaldemokracja Polska",14,"8 - Platforma Obywatelska",10,"12 - Platforma Janusza Korwin-Mikke",7,"7 - Sojusz Lewicy Demokratycznej",5,"6 - Prawo i Sprawiedliwosc",3,"10 - Polskie Stronnictwo Ludowe",2,"3 - Liga Polskich Rodzin",2,"4 - Partia Demokratyczna",2,"15 - Samoobrona RP",0,"1 - Ruch Patriotyczny",0,"2 - Polska Partia Pracy",0,"9 - Polska Partia Narodowa",0,"11 - Centrum",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",5
"Algeria","Poland",2005-09-25,"Legislative",222,51,46,NA,NA,5,17,"8 - Platforma Obywatelska",10,"6 - Prawo i Sprawiedliwosc",7,"7 - Sojusz Lewicy Demokratycznej",4,"4 - Partia Demokratyczna",3,"5 - Socjaldemokracja Polska",2,"2 - Polska Partia Pracy",2,"15 - Samoobrona RP",1,"3 - Liga Polskich Rodzin",0,"1 - Ruch Patriotyczny",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"12 - Platforma Janusza Korwin-Mikke",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",10
"Angola","Poland",2005-09-25,"Legislative",19,13,12,NA,NA,1,3,"6 - Prawo i Sprawiedliwosc",3,"12 - Platforma Janusza Korwin-Mikke",2,"3 - Liga Polskich Rodzin",2,"8 - Platforma Obywatelska",1,"4 - Partia Demokratyczna",1,"7 - Sojusz Lewicy Demokratycznej",0,"1 - Ruch Patriotyczny",0,"2 - Polska Partia Pracy",0,"5 - Socjaldemokracja Polska",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",3
"Argentina","Poland",2005-09-25,"Legislative",603,132,129,NA,NA,3,46,"8 - Platforma Obywatelska",19,"3 - Liga Polskich Rodzin",13,"7 - Sojusz Lewicy Demokratycznej",12,"4 - Partia Demokratyczna",9,"2 - Polska Partia Pracy",9,"5 - Socjaldemokracja Polska",6,"6 - Prawo i Sprawiedliwosc",5,"11 - Centrum",4,"1 - Ruch Patriotyczny",3,"10 - Polskie Stronnictwo Ludowe",2,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",1,"14 - Polska Konfederacja - Godnosc i Praca",0,"9 - Polska Partia Narodowa",0,"12 - Platforma Janusza Korwin-Mikke",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",6
"Armenia","Poland",2005-09-25,"Legislative",21,21,21,NA,NA,0,9,"8 - Platforma Obywatelska",5,"4 - Partia Demokratyczna",5,"6 - Prawo i Sprawiedliwosc",1,"1 - Ruch Patriotyczny",1,"5 - Socjaldemokracja Polska",0,"2 - Polska Partia Pracy",0,"3 - Liga Polskich Rodzin",0,"7 - Sojusz Lewicy Demokratycznej",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"12 - Platforma Janusza Korwin-Mikke",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",5
"Australia","Poland",2005-09-25,"Legislative",632,592,592,NA,NA,0,232,"6 - Prawo i Sprawiedliwosc",199,"8 - Platforma Obywatelska",72,"3 - Liga Polskich Rodzin",28,"7 - Sojusz Lewicy Demokratycznej",26,"4 - Partia Demokratyczna",12,"5 - Socjaldemokracja Polska",6,"9 - Polska Partia Narodowa",6,"12 - Platforma Janusza Korwin-Mikke",3,"10 - Polskie Stronnictwo Ludowe",3,"15 - Samoobrona RP",2,"1 - Ruch Patriotyczny",2,"2 - Polska Partia Pracy",1,"18 - Narodowe Odrodzenie Polski",0,"11 - Centrum",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",232
"Austria","Poland",2005-09-25,"Legislative",1393,1265,1224,NA,NA,41,430,"8 - Platforma Obywatelska",388,"6 - Prawo i Sprawiedliwosc",110,"3 - Liga Polskich Rodzin",79,"7 - Sojusz Lewicy Demokratycznej",71,"4 - Partia Demokratyczna",48,"5 - Socjaldemokracja Polska",27,"12 - Platforma Janusza Korwin-Mikke",26,"15 - Samoobrona RP",15,"10 - Polskie Stronnictwo Ludowe",12,"1 - Ruch Patriotyczny",9,"9 - Polska Partia Narodowa",6,"2 - Polska Partia Pracy",1,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",1,"16 - Inicjatywa RP",1,"17 - Dom Ojczysty",0,"11 - Centrum",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",388
"Azerbaijan","Poland",2005-09-25,"Legislative",26,26,26,NA,NA,0,16,"8 - Platforma Obywatelska",3,"4 - Partia Demokratyczna",3,"6 - Prawo i Sprawiedliwosc",3,"7 - Sojusz Lewicy Demokratycznej",1,"9 - Polska Partia Narodowa",0,"1 - Ruch Patriotyczny",0,"2 - Polska Partia Pracy",0,"3 - Liga Polskich Rodzin",0,"5 - Socjaldemokracja Polska",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"12 - Platforma Janusza Korwin-Mikke",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",3
"Belarus","Poland",2005-09-25,"Legislative",291,183,175,NA,NA,8,56,"6 - Prawo i Sprawiedliwosc",32,"8 - Platforma Obywatelska",25,"3 - Liga Polskich Rodzin",17,"7 - Sojusz Lewicy Demokratycznej",15,"5 - Socjaldemokracja Polska",7,"15 - Samoobrona RP",6,"4 - Partia Demokratyczna",4,"1 - Ruch Patriotyczny",4,"10 - Polskie Stronnictwo Ludowe",3,"12 - Platforma Janusza Korwin-Mikke",1,"2 - Polska Partia Pracy",1,"9 - Polska Partia Narodowa",1,"11 - Centrum",1,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",1,"16 - Inicjatywa RP",1,"17 - Dom Ojczysty",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",56
"Belgium","Poland",2005-09-25,"Legislative",2546,2187,2128,NA,NA,59,904,"8 - Platforma Obywatelska",499,"6 - Prawo i Sprawiedliwosc",201,"4 - Partia Demokratyczna",157,"7 - Sojusz Lewicy Demokratycznej",124,"5 - Socjaldemokracja Polska",80,"3 - Liga Polskich Rodzin",53,"15 - Samoobrona RP",41,"12 - Platforma Janusza Korwin-Mikke",32,"10 - Polskie Stronnictwo Ludowe",22,"1 - Ruch Patriotyczny",11,"2 - Polska Partia Pracy",2,"9 - Polska Partia Narodowa",1,"16 - Inicjatywa RP",1,"18 - Narodowe Odrodzenie Polski",0,"11 - Centrum",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"17 - Dom Ojczysty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",499
"Bosnia","Poland",2005-09-25,"Legislative",312,97,91,NA,NA,6,21,"8 - Platforma Obywatelska",19,"7 - Sojusz Lewicy Demokratycznej",16,"6 - Prawo i Sprawiedliwosc",14,"4 - Partia Demokratyczna",11,"5 - Socjaldemokracja Polska",3,"3 - Liga Polskich Rodzin",3,"12 - Platforma Janusza Korwin-Mikke",1,"2 - Polska Partia Pracy",1,"10 - Polskie Stronnictwo Ludowe",1,"11 - Centrum",1,"16 - Inicjatywa RP",0,"1 - Ruch Patriotyczny",0,"9 - Polska Partia Narodowa",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",16
