"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","votes_party_46","party_party_46","votes_party_47","party_party_47","votes_party_48","party_party_48","votes_party_49","party_party_49","votes_party_50","party_party_50","votes_party_51","party_party_51","votes_party_52","party_party_52","votes_party_53","party_party_53","votes_party_54","party_party_54","votes_party_55","party_party_55","national_winner","votes_national_winner","unmarked_votes"
"Sri Lanka","LKA","Romania","ROU",2019-11-10,"Presidential",NA,30,30,30,0,NA,NA,14,"Klaus-Werner IOHANNIS",9,"Ilie-Dan BARNA",2,"Theodor PALEOLOGU",2,"Vasilica-Viorica DANCILA",1,"Hunor KELEMEN",1,"Catalin-Sorin IVAN",1,"Mircea DIACONU",0,"Ninel PEIA",0,"Sebastian-Constantin POPESCU",0,"John-Ion BANU",0,"Bogdan STANOEVICI",0,"Ramona-Ioana BRUYNSEELS",0,"Viorel CATARAMA",0,"Alexandru CUMPANASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",14,NA
"US","USA","Romania","ROU",2019-11-10,"Presidential",NA,10647,10620,10620,27,NA,NA,4348,"Klaus-Werner IOHANNIS",3877,"Ilie-Dan BARNA",1207,"Theodor PALEOLOGU",400,"Mircea DIACONU",362,"Vasilica-Viorica DANCILA",171,"Alexandru CUMPANASU",73,"Ramona-Ioana BRUYNSEELS",47,"Hunor KELEMEN",29,"Sebastian-Constantin POPESCU",27,"Viorel CATARAMA",26,"Ninel PEIA",20,"Catalin-Sorin IVAN",18,"John-Ion BANU",15,"Bogdan STANOEVICI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",4348,NA
"Sudan","SDN","Romania","ROU",2019-11-10,"Presidential",NA,16,15,15,1,NA,NA,5,"Theodor PALEOLOGU",5,"Ilie-Dan BARNA",4,"Klaus-Werner IOHANNIS",1,"Alexandru CUMPANASU",0,"Hunor KELEMEN",0,"Vasilica-Viorica DANCILA",0,"Catalin-Sorin IVAN",0,"Ninel PEIA",0,"Sebastian-Constantin POPESCU",0,"John-Ion BANU",0,"Mircea DIACONU",0,"Bogdan STANOEVICI",0,"Ramona-Ioana BRUYNSEELS",0,"Viorel CATARAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",4,NA
"Sweden","SWE","Romania","ROU",2019-11-10,"Presidential",NA,4402,4383,4383,19,NA,NA,1812,"Klaus-Werner IOHANNIS",1804,"Ilie-Dan BARNA",306,"Theodor PALEOLOGU",146,"Mircea DIACONU",84,"Vasilica-Viorica DANCILA",76,"Ramona-Ioana BRUYNSEELS",53,"Alexandru CUMPANASU",36,"Hunor KELEMEN",16,"Catalin-Sorin IVAN",14,"Sebastian-Constantin POPESCU",14,"Bogdan STANOEVICI",13,"Ninel PEIA",5,"Viorel CATARAMA",4,"John-Ion BANU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",1812,NA
"Oman","OMN","Romania","ROU",2019-11-10,"Presidential",NA,98,96,96,2,NA,NA,43,"Klaus-Werner IOHANNIS",37,"Ilie-Dan BARNA",5,"Theodor PALEOLOGU",4,"Mircea DIACONU",3,"Viorel CATARAMA",2,"Vasilica-Viorica DANCILA",1,"John-Ion BANU",1,"Bogdan STANOEVICI",0,"Hunor KELEMEN",0,"Catalin-Sorin IVAN",0,"Ninel PEIA",0,"Sebastian-Constantin POPESCU",0,"Ramona-Ioana BRUYNSEELS",0,"Alexandru CUMPANASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",43,NA
"Tunisia","TUN","Romania","ROU",2019-11-10,"Presidential",NA,70,70,70,0,NA,NA,26,"Klaus-Werner IOHANNIS",22,"Ilie-Dan BARNA",8,"Vasilica-Viorica DANCILA",6,"Theodor PALEOLOGU",3,"Ninel PEIA",2,"Mircea DIACONU",1,"Sebastian-Constantin POPESCU",1,"Bogdan STANOEVICI",1,"Alexandru CUMPANASU",0,"Hunor KELEMEN",0,"Catalin-Sorin IVAN",0,"John-Ion BANU",0,"Ramona-Ioana BRUYNSEELS",0,"Viorel CATARAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",26,NA
"Turkey","TUR","Romania","ROU",2019-11-10,"Presidential",NA,706,704,704,2,NA,NA,256,"Klaus-Werner IOHANNIS",227,"Ilie-Dan BARNA",86,"Vasilica-Viorica DANCILA",53,"Theodor PALEOLOGU",36,"Mircea DIACONU",12,"Alexandru CUMPANASU",10,"Bogdan STANOEVICI",9,"Ramona-Ioana BRUYNSEELS",5,"Viorel CATARAMA",2,"Hunor KELEMEN",2,"Catalin-Sorin IVAN",2,"Ninel PEIA",2,"Sebastian-Constantin POPESCU",2,"John-Ion BANU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",256,NA
"Turkmenistan","TKM","Romania","ROU",2019-11-10,"Presidential",NA,27,26,26,1,NA,NA,10,"Klaus-Werner IOHANNIS",9,"Ilie-Dan BARNA",2,"Ramona-Ioana BRUYNSEELS",2,"Viorel CATARAMA",1,"Theodor PALEOLOGU",1,"Sebastian-Constantin POPESCU",1,"John-Ion BANU",0,"Hunor KELEMEN",0,"Vasilica-Viorica DANCILA",0,"Catalin-Sorin IVAN",0,"Ninel PEIA",0,"Mircea DIACONU",0,"Bogdan STANOEVICI",0,"Alexandru CUMPANASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",10,NA
"Ukraine","UKR","Romania","ROU",2019-11-10,"Presidential",NA,291,289,289,2,NA,NA,103,"Klaus-Werner IOHANNIS",68,"Ilie-Dan BARNA",48,"Vasilica-Viorica DANCILA",30,"Theodor PALEOLOGU",29,"Mircea DIACONU",6,"Bogdan STANOEVICI",2,"Hunor KELEMEN",1,"Ninel PEIA",1,"Sebastian-Constantin POPESCU",1,"Alexandru CUMPANASU",0,"Catalin-Sorin IVAN",0,"John-Ion BANU",0,"Ramona-Ioana BRUYNSEELS",0,"Viorel CATARAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",103,NA
"Hungary","HUN","Romania","ROU",2019-11-10,"Presidential",NA,2103,2097,2097,6,NA,NA,707,"Hunor KELEMEN",642,"Ilie-Dan BARNA",534,"Klaus-Werner IOHANNIS",87,"Theodor PALEOLOGU",52,"Vasilica-Viorica DANCILA",36,"Mircea DIACONU",12,"Ramona-Ioana BRUYNSEELS",8,"Sebastian-Constantin POPESCU",8,"Alexandru CUMPANASU",4,"Viorel CATARAMA",2,"Catalin-Sorin IVAN",2,"Ninel PEIA",2,"Bogdan STANOEVICI",1,"John-Ion BANU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",534,NA
"Uruguay","URY","Romania","ROU",2019-11-10,"Presidential",NA,31,29,29,2,NA,NA,11,"Klaus-Werner IOHANNIS",8,"Ilie-Dan BARNA",4,"Mircea DIACONU",2,"Theodor PALEOLOGU",2,"Vasilica-Viorica DANCILA",1,"Hunor KELEMEN",1,"John-Ion BANU",0,"Catalin-Sorin IVAN",0,"Ninel PEIA",0,"Sebastian-Constantin POPESCU",0,"Bogdan STANOEVICI",0,"Ramona-Ioana BRUYNSEELS",0,"Viorel CATARAMA",0,"Alexandru CUMPANASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",11,NA
"Uzbekistan","UZB","Romania","ROU",2019-11-10,"Presidential",NA,10,10,10,0,NA,NA,5,"Klaus-Werner IOHANNIS",4,"Ilie-Dan BARNA",1,"Theodor PALEOLOGU",0,"Hunor KELEMEN",0,"Vasilica-Viorica DANCILA",0,"Catalin-Sorin IVAN",0,"Ninel PEIA",0,"Sebastian-Constantin POPESCU",0,"John-Ion BANU",0,"Mircea DIACONU",0,"Bogdan STANOEVICI",0,"Ramona-Ioana BRUYNSEELS",0,"Viorel CATARAMA",0,"Alexandru CUMPANASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",5,NA
"Venezuela","VEN","Romania","ROU",2019-11-10,"Presidential",NA,38,38,38,0,NA,NA,33,"Klaus-Werner IOHANNIS",3,"Ilie-Dan BARNA",1,"Ninel PEIA",1,"Mircea DIACONU",0,"Theodor PALEOLOGU",0,"Hunor KELEMEN",0,"Vasilica-Viorica DANCILA",0,"Catalin-Sorin IVAN",0,"Sebastian-Constantin POPESCU",0,"John-Ion BANU",0,"Bogdan STANOEVICI",0,"Ramona-Ioana BRUYNSEELS",0,"Viorel CATARAMA",0,"Alexandru CUMPANASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",33,NA
"Vietnam","VNM","Romania","ROU",2019-11-10,"Presidential",NA,139,135,135,4,NA,NA,61,"Klaus-Werner IOHANNIS",50,"Ilie-Dan BARNA",8,"Vasilica-Viorica DANCILA",7,"Theodor PALEOLOGU",5,"Mircea DIACONU",1,"Hunor KELEMEN",1,"Catalin-Sorin IVAN",1,"Ninel PEIA",1,"John-Ion BANU",0,"Sebastian-Constantin POPESCU",0,"Bogdan STANOEVICI",0,"Ramona-Ioana BRUYNSEELS",0,"Viorel CATARAMA",0,"Alexandru CUMPANASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",61,NA
"Zimbabwe","ZWE","Romania","ROU",2019-11-10,"Presidential",NA,7,7,7,0,NA,NA,5,"Klaus-Werner IOHANNIS",1,"Ilie-Dan BARNA",1,"Vasilica-Viorica DANCILA",0,"Theodor PALEOLOGU",0,"Hunor KELEMEN",0,"Catalin-Sorin IVAN",0,"Ninel PEIA",0,"Sebastian-Constantin POPESCU",0,"John-Ion BANU",0,"Mircea DIACONU",0,"Bogdan STANOEVICI",0,"Ramona-Ioana BRUYNSEELS",0,"Viorel CATARAMA",0,"Alexandru CUMPANASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klaus-Werner IOHANNIS",5,NA
"Afghanistan","AFG","Romania","ROU",2016-12-11,"Legislative",561,559,502,502,NA,57,NA,138,"PARTIDUL SOCIAL DEMOCRAT",121,"PARTIDUL NA U 021A IONAL LIBERAL",89,"UNIUNEA SALVA U 021A I ROMANIA",46,"PARTIDUL ROMANIA UNITA",34,"PARTIDUL ALIAN U 021A A LIBERALILOR U 0218 I DEMOCRA U 021A ILOR",31,"PARTIDUL MI U 0218 CAREA POPULARA",20,"ALIAN U 021A A NOASTRA ROMANIA",7,"UNIUNEA DEMOCRATA TURCA DIN ROMANIA",5,"UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA",2,"ASOCIA U 021A IA PARTIDA ROMILOR PRO EUROPA",2,"FORUMUL DEMOCRAT AL GERMANILOR DIN ROMANIA",2,"UNIUNEA SARBILOR DIN ROMANIA",1,"UNIUNEA POLONEZILOR DIN ROMANIA",1,"FEDERA U 021A IA COMUNITA U 021A ILOR EVREIE U 0218 TI DIN ROMANIA",1,"UNIUNEA ARMENILOR DIN ROMANIA",1,"COMUNITATEA RU U 0218 ILOR LIPOVENI DIN ROMANIA",1,"ASOCIA U 021A IA MACEDONENILOR DIN ROMANIA",0,"UNIUNEA BULGARA DIN BANAT ROMANIA",0,"UNIUNEA CULTURALA A RUTENILOR DIN ROMANIA",0,"UNIUNEA CROA U 021A ILOR DIN ROMANIA",0,"UNIUNEA ELENA DIN ROMANIA",0,"UNIUNEA DEMOCRATICA A SLOVACILOR U 0218 I CEHILOR DIN ROMANIA",0,"ASOCIA U 021A IA ITALIENILOR DIN ROMANIA RO AS IT",0,"ASOCIA U 021A IA LIGA ALBANEZILOR DIN ROMANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDUL SOCIAL DEMOCRAT",138,NA
"Albania","ALB","Romania","ROU",2016-12-11,"Legislative",31,31,31,31,NA,0,NA,13,"PARTIDUL NA U 021A IONAL LIBERAL",8,"UNIUNEA SALVA U 021A I ROMANIA",5,"PARTIDUL SOCIAL DEMOCRAT",2,"PARTIDUL MI U 0218 CAREA POPULARA",1,"PARTIDUL ALIAN U 021A A LIBERALILOR U 0218 I DEMOCRA U 021A ILOR",1,"ALIAN U 021A A NOASTRA ROMANIA",1,"ASOCIA U 021A IA LIGA ALBANEZILOR DIN ROMANIA",0,"ASOCIA U 021A IA PARTIDA ROMILOR PRO EUROPA",0,"FORUMUL DEMOCRAT AL GERMANILOR DIN ROMANIA",0,"UNIUNEA POLONEZILOR DIN ROMANIA",0,"UNIUNEA BULGARA DIN BANAT ROMANIA",0,"UNIUNEA CULTURALA A RUTENILOR DIN ROMANIA",0,"UNIUNEA CROA U 021A ILOR DIN ROMANIA",0,"UNIUNEA ELENA DIN ROMANIA",0,"UNIUNEA SARBILOR DIN ROMANIA",0,"UNIUNEA DEMOCRATICA A SLOVACILOR U 0218 I CEHILOR DIN ROMANIA",0,"PARTIDUL ROMANIA UNITA",0,"UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA",0,"FEDERA U 021A IA COMUNITA U 021A ILOR EVREIE U 0218 TI DIN ROMANIA",0,"ASOCIA U 021A IA ITALIENILOR DIN ROMANIA RO AS IT",0,"UNIUNEA ARMENILOR DIN ROMANIA",0,"COMUNITATEA RU U 0218 ILOR LIPOVENI DIN ROMANIA",0,"ASOCIA U 021A IA MACEDONENILOR DIN ROMANIA",0,"UNIUNEA DEMOCRATA TURCA DIN ROMANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDUL SOCIAL DEMOCRAT",5,NA
"Algeria","DZA","Romania","ROU",2016-12-11,"Legislative",23,23,23,23,NA,0,NA,9,"PARTIDUL NA U 021A IONAL LIBERAL",9,"PARTIDUL SOCIAL DEMOCRAT",3,"PARTIDUL ALIAN U 021A A LIBERALILOR U 0218 I DEMOCRA U 021A ILOR",1,"ASOCIA U 021A IA PARTIDA ROMILOR PRO EUROPA",1,"UNIUNEA SALVA U 021A I ROMANIA",0,"PARTIDUL MI U 0218 CAREA POPULARA",0,"FORUMUL DEMOCRAT AL GERMANILOR DIN ROMANIA",0,"UNIUNEA POLONEZILOR DIN ROMANIA",0,"UNIUNEA BULGARA DIN BANAT ROMANIA",0,"UNIUNEA CULTURALA A RUTENILOR DIN ROMANIA",0,"UNIUNEA CROA U 021A ILOR DIN ROMANIA",0,"UNIUNEA ELENA DIN ROMANIA",0,"UNIUNEA SARBILOR DIN ROMANIA",0,"UNIUNEA DEMOCRATICA A SLOVACILOR U 0218 I CEHILOR DIN ROMANIA",0,"PARTIDUL ROMANIA UNITA",0,"UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA",0,"FEDERA U 021A IA COMUNITA U 021A ILOR EVREIE U 0218 TI DIN ROMANIA",0,"ASOCIA U 021A IA ITALIENILOR DIN ROMANIA RO AS IT",0,"ALIAN U 021A A NOASTRA ROMANIA",0,"UNIUNEA ARMENILOR DIN ROMANIA",0,"COMUNITATEA RU U 0218 ILOR LIPOVENI DIN ROMANIA",0,"ASOCIA U 021A IA LIGA ALBANEZILOR DIN ROMANIA",0,"ASOCIA U 021A IA MACEDONENILOR DIN ROMANIA",0,"UNIUNEA DEMOCRATA TURCA DIN ROMANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDUL SOCIAL DEMOCRAT",9,NA
"Angola","AGO","Romania","ROU",2016-12-11,"Legislative",4,4,4,4,NA,0,NA,2,"PARTIDUL SOCIAL DEMOCRAT",1,"PARTIDUL NA U 021A IONAL LIBERAL",1,"PARTIDUL ALIAN U 021A A LIBERALILOR U 0218 I DEMOCRA U 021A ILOR",0,"ASOCIA U 021A IA PARTIDA ROMILOR PRO EUROPA",0,"PARTIDUL MI U 0218 CAREA POPULARA",0,"FORUMUL DEMOCRAT AL GERMANILOR DIN ROMANIA",0,"UNIUNEA POLONEZILOR DIN ROMANIA",0,"UNIUNEA BULGARA DIN BANAT ROMANIA",0,"UNIUNEA CULTURALA A RUTENILOR DIN ROMANIA",0,"UNIUNEA CROA U 021A ILOR DIN ROMANIA",0,"UNIUNEA ELENA DIN ROMANIA",0,"UNIUNEA SARBILOR DIN ROMANIA",0,"UNIUNEA DEMOCRATICA A SLOVACILOR U 0218 I CEHILOR DIN ROMANIA",0,"PARTIDUL ROMANIA UNITA",0,"UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA",0,"FEDERA U 021A IA COMUNITA U 021A ILOR EVREIE U 0218 TI DIN ROMANIA",0,"ASOCIA U 021A IA ITALIENILOR DIN ROMANIA RO AS IT",0,"ALIAN U 021A A NOASTRA ROMANIA",0,"UNIUNEA SALVA U 021A I ROMANIA",0,"UNIUNEA ARMENILOR DIN ROMANIA",0,"COMUNITATEA RU U 0218 ILOR LIPOVENI DIN ROMANIA",0,"ASOCIA U 021A IA LIGA ALBANEZILOR DIN ROMANIA",0,"ASOCIA U 021A IA MACEDONENILOR DIN ROMANIA",0,"UNIUNEA DEMOCRATA TURCA DIN ROMANIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDUL SOCIAL DEMOCRAT",2,NA
